Version,Cost per result,Results,Reach,Impressions,Amount spent,Currency,Confidence,Is winner,Objective,Key metric,test_adsets
 extrovert,0.17407079646018,113,802,1334,19.67,EUR,>0.950,Yes,Engagement,Cost per result,96d4aa70b719f459380dc71ce069aefc
 introvert,0.35471698113208,53,528,1016,18.8,EUR,<0.050,No,Engagement,Cost per result,7c0a63d02950ef5c882f565ef7ef9952
