Version,Cost per result,Results,Reach,Impressions,Amount spent,Currency,Confidence,Is winner,Objective,Key metric
 introvert,5.0,12,271,3372,60,EUR,0.754,Yes,Engagement,Cost per result
 extrovert,8.5714285714286,7,264,3223,60,EUR,0.246,No,Engagement,Cost per result
