Version,Cost per result,Results,Reach,Impressions,Amount spent,Currency,Confidence,Is winner,Objective,Key metric,test_adsets
 extrovert,0.41777777777778,45,542,1303,18.8,EUR,0.166,No,Engagement,Cost per result,492afb81d6cc01fa54943a9df086c452
 introvert,0.29861538461538,65,649,1381,19.41,EUR,0.834,Yes,Engagement,Cost per result,2bb2ad0e12b93c3272c1bed073b17c87
