Version,Cost per result,Results,Reach,Impressions,Amount spent,Currency,Confidence,Is winner,Objective,Key metric
 introvert,5.4527272727273,11,245,3310,59.98,EUR,0.375,No,Engagement,Cost per result
 extrovert,4.5938461538462,13,246,3085,59.72,EUR,0.625,No,Engagement,Cost per result
