Version,Cost per result,Results,Reach,Impressions,Amount spent,Currency,Confidence,Is winner,Objective,Key metric,test_adsets
 introvert,0.13737931034483,145,331,475,19.92,EUR,0.397,No,Engagement,Cost per result,2a3405fc4c9e4afe6e26336785a761bb
 extrovert,0.13054794520548,73,187,236,9.53,EUR,0.603,No,Engagement,Cost per result,c93f0e9416bd89afb8ab49deb0f93014
