Version,Cost per result,Results,Reach,Impressions,Amount spent,Currency,Confidence,Is winner,Objective,Key metric,test_adsets
 introvert,0.14492753623188,138,277,354,20,EUR,0.317,No,Engagement,Cost per result,7ef8348ec9dbf821eb4ff32b8d8c1d6c
extrovert ,0.13333333333333,150,347,455,20,EUR,0.683,Yes,Engagement,Cost per result,96633f68aa6b0aee0dd5ddb37f58c905
