ad_id,impressions,spend,reach,cpm,cpc,ctr
edf872a2013d3acb7bd3dffacd3783d9e0b73100c3af42dea5200ad80c802631,2484,23.47,2199,9.44847,0.404655,2.334944
ea6aeeb5d6a719af171b343558474ec3ec22acfb5a27f0ed9a09186eabecdce7,1125,22.9,1041,20.355556,0.318056,6.4
