prolific_pid,gender,age,score,trait,fbaccount,fbfrequency,fblogin,device,browser,attention_check
5de4d989550143a4f787add1cf9732d38c3991f3830a25de5f388db27fb5cd37,m,37,28,introvert,yes,daily,yes,desktop,Chrome,5.0
cfdcfe97cc81b7888ae7ef3c7574627a0f671b8b80f8586b9f62885e0884dd32,m,28,32,none,yes,monthly,no,desktop,Chrome,5.0
fdc28d13d0d915bbca297c6fa56c4fca6ab07b129fd7217e8614c46580ca7279,m,62,96,extrovert,yes,daily,no,desktop,Chrome,5.0
c53230636874c99f015aa631162568c9e187abb943591a8d86af9dbc2b9cf875,m,40,22,introvert,yes,daily,yes,desktop,Chrome,5.0
f3a488a824b5c11e0cca05e924cfb139a4f6715fff1b64681961bfd7a0333229,f,32,15,introvert,yes,daily,no,desktop,Chrome,5.0
9cffbb9d09e24d2139f10fdaf39f0f68bd727a541b12494d8254a90da70a9c4b,f,34,53,none,yes,daily,yes,desktop,Chrome,5.0
65e4041a2480c2b09f98d412e5625df3c3aa14102ef09def50132220939bc1c3,f,28,12,introvert,yes,daily,yes,desktop,Chrome,5.0
fc45e2c854ed056fcf29872cdedac76e727c1b416dee7b9bb19d61393a918cbf,m,53,11,introvert,yes,daily,yes,desktop,Chrome,5.0
e5790ffcf822934af2d429977fe57f0a86d89b42075f31081742807879836427,f,48,89,extrovert,yes,weekly,yes,desktop,Chrome,5.0
431eb9616d9d2069a687c41190e59d2ce388298700eb02320f0186ef5016deb6,f,38,6,introvert,yes,daily,no,desktop,Chrome,5.0
d5941de6e3cad39752c7810c2e9db5f58864d36d1554d2c3460be82454287919,m,59,6,introvert,yes,daily,no,desktop,Chrome,5.0
683781d4a0aeb067dca970638c4a40a09242964b5b2088c8fd6ef947ea1638e5,f,32,23,introvert,yes,daily,no,desktop,Chrome,5.0
a6bc94eb2e54c49affa6ddfd0cf0da943b7e24455a47333f1796c12371435280,f,38,39,none,yes,daily,no,desktop,Chrome,5.0
733f90914b5452a6af44d9f59b8ea733bf0d5c76fa36191d04e8ab1340145125,m,38,0,,no,never,no,desktop,Chrome,
d33a68da1ea49a9b36f977a33e07c999279bd8f0f52006f5d6bf49613a2a89ff,f,64,98,extrovert,yes,daily,yes,desktop,Chrome,5.0
