Trial,Reach,Total,Audience,AdType,Fail,AdID,ProfilingMethod
1,64,148,Extrovert,Introvert-ad,84,Introvert-ad-2,Psychometric
2,94,160,Extrovert,Introvert-ad,66,Introvert-ad-2,Psychometric
3,61,159,Extrovert,Introvert-ad,98,Introvert-ad-2,Psychometric
4,107,192,Extrovert,Introvert-ad,85,Introvert-ad-2,Psychometric
5,64,143,Extrovert,Introvert-ad,79,Introvert-ad-2,Psychometric
6,83,163,Extrovert,Introvert-ad,80,Introvert-ad-2,Psychometric
7,74,158,Extrovert,Introvert-ad,84,Introvert-ad-2,Psychometric
8,73,156,Extrovert,Introvert-ad,83,Introvert-ad-2,Psychometric
9,81,137,Extrovert,Introvert-ad,56,Introvert-ad-2,Psychometric
0,228,497,Introvert,Introvert-ad,269,Introvert-ad-1,Behavioral
1,258,533,Introvert,Introvert-ad,275,Introvert-ad-1,Behavioral
2,222,499,Introvert,Introvert-ad,277,Introvert-ad-1,Behavioral
3,283,548,Introvert,Introvert-ad,265,Introvert-ad-1,Behavioral
4,333,511,Introvert,Introvert-ad,178,Introvert-ad-1,Behavioral
5,208,499,Introvert,Introvert-ad,291,Introvert-ad-1,Behavioral
6,304,590,Introvert,Introvert-ad,286,Introvert-ad-1,Behavioral
7,300,600,Introvert,Introvert-ad,300,Introvert-ad-1,Behavioral
8,276,508,Introvert,Introvert-ad,232,Introvert-ad-1,Behavioral
9,310,625,Introvert,Introvert-ad,315,Introvert-ad-1,Behavioral
0,269,497,Introvert,Extrovert-ad,228,Extrovert-ad-1,Behavioral
1,275,533,Introvert,Extrovert-ad,258,Extrovert-ad-1,Behavioral
2,277,499,Introvert,Extrovert-ad,222,Extrovert-ad-1,Behavioral
3,265,548,Introvert,Extrovert-ad,283,Extrovert-ad-1,Behavioral
4,178,511,Introvert,Extrovert-ad,333,Extrovert-ad-1,Behavioral
5,291,499,Introvert,Extrovert-ad,208,Extrovert-ad-1,Behavioral
6,286,590,Introvert,Extrovert-ad,304,Extrovert-ad-1,Behavioral
7,300,600,Introvert,Extrovert-ad,300,Extrovert-ad-1,Behavioral
8,232,508,Introvert,Extrovert-ad,276,Extrovert-ad-1,Behavioral
9,315,625,Introvert,Extrovert-ad,310,Extrovert-ad-1,Behavioral
0,118,204,Extrovert,Extrovert-ad,86,Extrovert-ad-1,Behavioral
1,205,382,Extrovert,Extrovert-ad,177,Extrovert-ad-1,Behavioral
2,100,207,Extrovert,Extrovert-ad,107,Extrovert-ad-1,Behavioral
3,192,368,Extrovert,Extrovert-ad,176,Extrovert-ad-1,Behavioral
4,34,53,Extrovert,Extrovert-ad,19,Extrovert-ad-1,Behavioral
5,102,191,Extrovert,Extrovert-ad,89,Extrovert-ad-1,Behavioral
6,214,396,Extrovert,Extrovert-ad,182,Extrovert-ad-1,Behavioral
7,121,214,Extrovert,Extrovert-ad,93,Extrovert-ad-1,Behavioral
8,110,227,Extrovert,Extrovert-ad,117,Extrovert-ad-1,Behavioral
9,142,271,Extrovert,Extrovert-ad,129,Extrovert-ad-1,Behavioral
0,86,204,Extrovert,Introvert-ad,118,Introvert-ad-1,Behavioral
1,177,382,Extrovert,Introvert-ad,205,Introvert-ad-1,Behavioral
2,107,207,Extrovert,Introvert-ad,100,Introvert-ad-1,Behavioral
3,176,368,Extrovert,Introvert-ad,192,Introvert-ad-1,Behavioral
4,19,53,Extrovert,Introvert-ad,34,Introvert-ad-1,Behavioral
5,89,191,Extrovert,Introvert-ad,102,Introvert-ad-1,Behavioral
6,182,396,Extrovert,Introvert-ad,214,Introvert-ad-1,Behavioral
7,93,214,Extrovert,Introvert-ad,121,Introvert-ad-1,Behavioral
8,117,227,Extrovert,Introvert-ad,110,Introvert-ad-1,Behavioral
9,129,271,Extrovert,Introvert-ad,142,Introvert-ad-1,Behavioral
0,188,389,Introvert,Introvert-ad,201,Introvert-ad-2,Behavioral
1,330,654,Introvert,Introvert-ad,324,Introvert-ad-2,Behavioral
2,338,728,Introvert,Introvert-ad,390,Introvert-ad-2,Behavioral
3,178,371,Introvert,Introvert-ad,193,Introvert-ad-2,Behavioral
4,35,565,Introvert,Introvert-ad,530,Introvert-ad-2,Behavioral
5,235,630,Introvert,Introvert-ad,395,Introvert-ad-2,Behavioral
6,281,644,Introvert,Introvert-ad,363,Introvert-ad-2,Behavioral
7,200,385,Introvert,Introvert-ad,185,Introvert-ad-2,Behavioral
8,218,533,Introvert,Introvert-ad,315,Introvert-ad-2,Behavioral
9,235,518,Introvert,Introvert-ad,283,Introvert-ad-2,Behavioral
0,201,389,Introvert,Extrovert-ad,188,Extrovert-ad-2,Behavioral
1,324,654,Introvert,Extrovert-ad,330,Extrovert-ad-2,Behavioral
